ID,Priority,GenerationTime,StartTime,EndTime,Algorithm
23,3,4,4,5,Prioridade
2,8,11,11,12,Prioridade
10,10,12,12,17,Prioridade
8,7,14,17,21,Prioridade
14,7,13,21,31,Prioridade
19,2,22,31,33,Prioridade
1,3,24,33,40,Prioridade
22,4,27,40,42,Prioridade
13,7,24,42,47,Prioridade
11,6,46,47,51,Prioridade
16,3,51,51,54,Prioridade
18,5,54,54,58,Prioridade
9,2,57,58,66,Prioridade
5,4,61,66,73,Prioridade
21,3,69,73,78,Prioridade
3,6,61,78,86,Prioridade
15,1,81,86,96,Prioridade
6,2,90,96,103,Prioridade
23,3,4,4,5,Loteria
2,8,11,11,12,Loteria
10,10,12,12,17,Loteria
8,7,14,17,21,Loteria
14,7,13,21,31,Loteria
13,7,24,31,36,Loteria
19,2,22,36,38,Loteria
24,7,25,38,47,Loteria
1,3,24,47,54,Loteria
11,6,46,54,58,Loteria
9,2,57,58,66,Loteria
7,8,57,66,73,Loteria
16,3,51,73,76,Loteria
5,4,61,76,83,Loteria
21,3,69,83,88,Loteria
20,3,81,88,93,Loteria
6,2,90,93,100,Loteria
